#index	date	close	open	high	low	volume	dVolume	percent_change	dollar_change	spread	var	entropy	slope	concavity	answer
829	2013-11-25	5.19688	21.67	21.7	21.35	4617800	-0.035708319411961245	-0.7601808952468851	-16.47312	0.02605438368727577	0.015555424936	1.52657094502	-0.16591999999999926	-0.43590583333333893	1
830	2013-11-26	5.21635	21.35	21.55	21.22	2857400	-0.3812204946078219	-0.7556744730679158	-16.133650000000003	0.024843457983501824	0.01522034662	1.52366672721	0.13670666666666667	0.5760483333333385	1
831	2013-11-27	5.34293	21.53	22.2	21.33	5664500	0.9823965843074123	-0.7518379006038087	-16.187070000000002	0.0647491732386458	0.011344362664	1.52924829304	0.18095166666666676	-0.06668749999999928	1
832	2013-11-28	5.49628	22.0	22.98	21.96	11264100	0.9885426780827964	-0.750169090909091	-16.50372	0.07419185431629294	0.012291502756	1.52924829304	0.13995499999999814	-0.12946083333333233	0
833	2013-11-29	5.48654	22.41	22.77	22.34	5195200	-0.5387825037064656	-0.7551744756804997	-16.92346	0.03082819589812928	0.012760371289	1.52366672721	-0.15457166666666508	-0.45334333333333215	0
834	2013-12-02	5.2626	21.9	22.31	21.41	7176500	0.38137126578380043	-0.7596986301369864	-16.6374	0.06626758852245357	0.011328921625	1.51471090606	-0.3480766666666666	-0.13812249999999202	1
835	2013-12-03	5.49141	21.53	22.83	21.41	8332100	0.16102556956733785	-0.7449414770088248	-16.03859	0.10510184331609623	0.012011681601	1.51471090606	0.6775016666666666	1.7779216666666684	1
836	2013-12-04	5.66423	22.6	23.61	22.4	13865200	0.6640702824017954	-0.7493703539823009	-16.93577	0.08562058828420238	0.021300262569	1.46291952819	-0.02475500000000193	-1.6424458333333245	0
837	2013-12-05	5.6618	23.27	23.66	23.03	8406300	-0.39371231572570176	-0.756691018478728	-17.6082	0.043550695082919075	0.027347789889	1.50682195793	-0.1298083333333334	0.06251333333333638	0
838	2013-12-06	5.59851	23.15	23.66	22.81	9587500	0.14051366237226842	-0.7581637149028078	-17.551489999999998	0.05913349944049284	0.028256542281	1.52657094502	-0.05559000000000047	0.26770916666666267	0
839	2013-12-09	5.57417	23.4	23.42	22.8	8284300	-0.13592698826597133	-0.7617876068376068	-17.82583	0.04279673930262721	0.022590212416	1.52657094502	0.02840500000000053	0.1253950000000028	1
840	2013-12-10	5.82245	23.17	24.18	22.81	20750300	1.504774090749973	-0.74870738023306	-17.347550000000002	0.09450736312384782	0.023755500276	1.46522691049	0.46247999999999906	0.6289950000000021	0
