#index	date	close	open	high	low	volume	dVolume	percent_change	dollar_change	spread	var	entropy	slope	concavity	answer
1793	2015-08-28	0.94	0.95	1.03	0.93	6800	-0.17073170731707318	-0.010526315789473694	-0.010000000000000009	0.1058201058201058	0.002756	1.49496191896	0.09833333333333365	0.4366666666666674	1
1794	2015-08-31	0.99	0.97	1.05	0.97	2400	-0.6470588235294118	0.020618556701030948	0.020000000000000018	0.08163265306122457	0.002244	1.50498328443	0.0500000000000003	-0.1566666666666657	0
1795	2015-09-01	0.98	0.95	1.06	0.95	9000	2.75	0.03157894736842108	0.030000000000000027	0.11398963730569958	0.001609	1.52657094502	-0.06666666666666698	-0.18583333333333338	0
1796	2015-09-02	0.98	0.96	0.98	0.94	400	-0.9555555555555556	0.020833333333333353	0.020000000000000018	0.041237113402061897	0.001609	1.53923812855	0.028333333333333172	0.2174999999999995	0
1797	2015-09-03	0.91	0.94	1.02	0.91	1400	2.5	-0.03191489361702119	-0.029999999999999916	0.1189189189189189	0.001684	1.56048735338	-0.13166666666666674	-0.28749999999999937	0
1798	2015-09-04	0.9	0.93	0.94	0.9	5300	2.7857142857142856	-0.03225806451612906	-0.030000000000000027	0.043715846994535436	0.001649	1.26251269284	0.06333333333333362	0.3825000000000003	1
1799	2015-09-08	1.0	0.95	1.02	0.94	1800	-0.660377358490566	0.052631578947368474	0.050000000000000044	0.08205128205128212	0.001769	1.29919432117	0.17166666666666672	0.08666666666666704	0
1800	2015-09-09	0.91	1.03	1.05	0.9	4400	1.4444444444444444	-0.11650485436893203	-0.12	0.154639175257732	0.001345	1.32659747438	-0.2850000000000001	-0.8108333333333332	0
1801	2015-09-10	0.91	0.95	0.95	0.91	200	-0.9545454545454546	-0.04210526315789466	-0.039999999999999925	0.04301075268817196	0.001441	1.34563806	0.13833333333333345	0.9016666666666668	1
1802	2015-09-11	0.95	0.94	0.95	0.94	600	2.0	0.010638297872340436	0.010000000000000009	0.010582010582010592	0.001321	1.35686591936	0.0433333333333333	-0.3124999999999993	0
1803	2015-09-14	0.91	0.95	0.95	0.91	2500	3.1666666666666665	-0.04210526315789466	-0.039999999999999925	0.04301075268817196	0.001444	1.541171731	-0.11999999999999977	-0.26416666666666505	1
1804	2015-09-15	0.95	0.91	0.97	0.91	2700	0.08	0.04395604395604387	0.039999999999999925	0.06451612903225801	0.00122	1.55570911798	0.1333333333333332	0.4966666666666663	1
1805	2015-09-16	1.0	0.95	1.0	0.95	800	-0.7037037037037037	0.052631578947368474	0.050000000000000044	0.05128205128205133	0.001416	1.56606891921	0.031666666666666954	-0.270833333333332	0
1806	2015-09-17	0.95	0.96	0.97	0.95	1800	1.25	-0.010416666666666676	-0.010000000000000009	0.02094240837696337	0.001269	1.56606891921	-0.13666666666666696	-0.24666666666666703	0
1807	2015-09-18	0.92	0.93	0.96	0.92	800	-0.5555555555555556	-0.01075268817204302	-0.010000000000000009	0.04324324324324316	0.00122	1.55153153223	0.020000000000000535	0.35083333333333416	0
1808	2015-09-21	0.87	0.93	0.96	0.87	7800	8.75	-0.06451612903225812	-0.06000000000000005	0.09999999999999996	0.001541	1.52657094502	-0.07333333333333385	-0.2066666666666673	1
